Type,SKU,Name,Published,Parent,"Is featured?","Visibility in catalog","Short description",Description,"In stock?",Stock,Weight,Length,Width,Height,"Sale price","Regular price",Categories,Images,"Attribute 1 name","Attribute 1 value (s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value (s)","Attribute 2 visible","Attribute 2 global"
variable,MO9584-03,PULSE,1,,,visible,"Cuffia wireless pieghevole","Cuffia wireless pieghevole con tessuto a rete. Automonmia ca. 4 ore. Batteria ricaricabile da 300 mAh. Incluso jack e cavo di ricarica micro USB. Autonomia circa 6h.",1,0,"6,6","0,51","0,335","0,285",100,110,"MIDOCEANBRANDS > Tecnologia & Eccessori > Audio & Sound > Speakers con luce","https://cdn1.midocean.com/image/700X700/mo9584-03.jpg,https://cdn1.midocean.com/image/700X700/mo9584-03.jpg,https://cdn1.midocean.com/image/700X700/mo9584-03a.jpg,https://cdn1.midocean.com/image/700X700/mo9584-03c.jpg,https://cdn1.midocean.com/image/700X700/mo9584-03d.jpg,https://cdn1.midocean.com/image/700X700/mo9584-03e.jpg,https://cdn1.midocean.com/image/700X700/mo9584-03-box.jpg",Color,"black, red, white, royal blue",1,1,Size,,1,1
variation,MO9584-05,PULSE,1,MO9584-03,0,visible,"Cuffia wireless pieghevole","Cuffia wireless pieghevole con tessuto a rete. Automonmia ca. 4 ore. Batteria ricaricabile da 300 mAh. Incluso jack e cavo di ricarica micro USB. Autonomia circa 6h.",1,,"5,25","0,425","0,32","0,28",100,110,"MIDOCEANBRANDS > Tecnologia & Eccessori > Audio & Sound > Speakers con luce","https://cdn1.midocean.com/image/700X700/mo9584-03.jpg,https://cdn1.midocean.com/image/700X700/mo9584-03.jpg,https://cdn1.midocean.com/image/700X700/mo9584-03a.jpg,https://cdn1.midocean.com/image/700X700/mo9584-03c.jpg,https://cdn1.midocean.com/image/700X700/mo9584-03d.jpg,https://cdn1.midocean.com/image/700X700/mo9584-03e.jpg,https://cdn1.midocean.com/image/700X700/mo9584-03-box.jpg",Color,red,1,1,Size,,1,1
variation,MO9584-06,PULSE,1,MO9584-03,0,visible,"Cuffia wireless pieghevole","Cuffia wireless pieghevole con tessuto a rete. Automonmia ca. 4 ore. Batteria ricaricabile da 300 mAh. Incluso jack e cavo di ricarica micro USB. Autonomia circa 6h.",1,143,"6,6","0,51","0,335","0,285",100,110,"MIDOCEANBRANDS > Tecnologia & Eccessori > Audio & Sound > Speakers con luce","https://cdn1.midocean.com/image/700X700/mo9584-03.jpg,https://cdn1.midocean.com/image/700X700/mo9584-03.jpg,https://cdn1.midocean.com/image/700X700/mo9584-03a.jpg,https://cdn1.midocean.com/image/700X700/mo9584-03c.jpg,https://cdn1.midocean.com/image/700X700/mo9584-03d.jpg,https://cdn1.midocean.com/image/700X700/mo9584-03e.jpg,https://cdn1.midocean.com/image/700X700/mo9584-03-box.jpg",Color,white,1,1,Size,,1,1
variation,MO9584-37,PULSE,1,MO9584-03,0,visible,"Cuffia wireless pieghevole","Cuffia wireless pieghevole con tessuto a rete. Automonmia ca. 4 ore. Batteria ricaricabile da 300 mAh. Incluso jack e cavo di ricarica micro USB. Autonomia circa 6h.",1,0,"6,6","0,51","0,335","0,285",100,110,"MIDOCEANBRANDS > Tecnologia & Eccessori > Audio & Sound > Speakers con luce","https://cdn1.midocean.com/image/700X700/mo9584-03.jpg,https://cdn1.midocean.com/image/700X700/mo9584-03.jpg,https://cdn1.midocean.com/image/700X700/mo9584-03a.jpg,https://cdn1.midocean.com/image/700X700/mo9584-03c.jpg,https://cdn1.midocean.com/image/700X700/mo9584-03d.jpg,https://cdn1.midocean.com/image/700X700/mo9584-03e.jpg,https://cdn1.midocean.com/image/700X700/mo9584-03-box.jpg",Color,"royal blue",1,1,Size,,1,1
variable,MO9586-03,LIPS,1,,,visible,"Burro di cacao ""cubo""","Burro di cacao naturale in confezione cubica in ABS. Dermatoligicamente testato.",1,15878,"10,55","0,4","0,4","0,22",100,110,"MIDOCEANBRANDS > Benessere & Cura > Cura della persona > Burri cacao","https://cdn1.midocean.com/image/700X700/mo9586-03.jpg,https://cdn1.midocean.com/image/700X700/mo9586-03.jpg,https://cdn1.midocean.com/image/700X700/mo9586-03a.jpg",Color,"black, blue, red, white, orange, lime",1,1,Size,,1,1
variation,MO9586-04,LIPS,1,MO9586-03,0,visible,"Burro di cacao ""cubo""","Burro di cacao naturale in confezione cubica in ABS. Dermatoligicamente testato.",1,5104,"10,55","0,4","0,4","0,22",100,110,"MIDOCEANBRANDS > Benessere & Cura > Cura della persona > Burri cacao","https://cdn1.midocean.com/image/700X700/mo9586-03.jpg,https://cdn1.midocean.com/image/700X700/mo9586-03.jpg,https://cdn1.midocean.com/image/700X700/mo9586-03a.jpg",Color,blue,1,1,Size,,1,1
variation,MO9586-05,LIPS,1,MO9586-03,0,visible,"Burro di cacao ""cubo""","Burro di cacao naturale in confezione cubica in ABS. Dermatoligicamente testato.",1,13099,"10,55","0,4","0,4","0,22",100,110,"MIDOCEANBRANDS > Benessere & Cura > Cura della persona > Burri cacao","https://cdn1.midocean.com/image/700X700/mo9586-03.jpg,https://cdn1.midocean.com/image/700X700/mo9586-03.jpg,https://cdn1.midocean.com/image/700X700/mo9586-03a.jpg",Color,red,1,1,Size,,1,1
variation,MO9586-06,LIPS,1,MO9586-03,0,visible,"Burro di cacao ""cubo""","Burro di cacao naturale in confezione cubica in ABS. Dermatoligicamente testato.",1,15563,"10,55","0,4","0,4","0,22",100,110,"MIDOCEANBRANDS > Benessere & Cura > Cura della persona > Burri cacao","https://cdn1.midocean.com/image/700X700/mo9586-03.jpg,https://cdn1.midocean.com/image/700X700/mo9586-03.jpg,https://cdn1.midocean.com/image/700X700/mo9586-03a.jpg",Color,white,1,1,Size,,1,1
variation,MO9586-10,LIPS,1,MO9586-03,0,visible,"Burro di cacao ""cubo""","Burro di cacao naturale in confezione cubica in ABS. Dermatoligicamente testato.",1,25907,"10,55","0,4","0,4","0,22",100,110,"MIDOCEANBRANDS > Benessere & Cura > Cura della persona > Burri cacao","https://cdn1.midocean.com/image/700X700/mo9586-03.jpg,https://cdn1.midocean.com/image/700X700/mo9586-03.jpg,https://cdn1.midocean.com/image/700X700/mo9586-03a.jpg",Color,orange,1,1,Size,,1,1
variation,MO9586-48,LIPS,1,MO9586-03,0,visible,"Burro di cacao ""cubo""","Burro di cacao naturale in confezione cubica in ABS. Dermatoligicamente testato.",1,9240,"10,55","0,4","0,4","0,22",100,110,"MIDOCEANBRANDS > Benessere & Cura > Cura della persona > Burri cacao","https://cdn1.midocean.com/image/700X700/mo9586-03.jpg,https://cdn1.midocean.com/image/700X700/mo9586-03.jpg,https://cdn1.midocean.com/image/700X700/mo9586-03a.jpg",Color,lime,1,1,Size,,1,1
